Site,Cov,BLK,BLK_cont,Row,Col,fitness,TROR,TRCY,NO_GRASS,focal_sp,CEC,pH,NO3.N,mean_percent_open,precip,pet,water_in_out,PC1,PC2
BEN,SH,3,3,6,2,3,0,0,0,TRCY,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,6,4,4,0,0,0,TRCY,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,6,5,11,0,0,0,TRCY,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,6,6,16,0,0,0,TROR,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,6,7,1,0,0,0,TRCY,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,7,3,4,0,0,0,TROR,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,7,4,1,0,0,0,TROR,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,7,5,6,0,0,0,TROR,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,7,6,8,0,0,0,TROR,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,7,8,8,0,0,0,TRCY,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,8,3,17,0,0,0,TRCY,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,8,4,2,0,0,0,TROR,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,8,5,12,0,0,0,TRCY,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,8,7,10,0,0,0,TRCY,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,8,8,8,0,2,0,TRCY,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,8,9,1,0,0,0,TRCY,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,8,10,4,0,0,0,TRCY,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,2,4,1,1,11,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,1,2,14,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,1,3,24,0,2,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,1,4,13,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,1,5,16,0,0,0,TROR,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,1,6,33,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,1,8,26,0,0,0,TROR,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,1,9,6,0,0,0,TROR,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,1,10,4,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,2,1,0,0,0,0,LOOK_UP,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,2,2,67,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,2,3,11,0,2,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,2,4,78,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
