"Site","Cov","fac_sc","niche_med","niche_lwr","niche_upr","fit_med","fit_lwr","fit_upr","p_coexist","p_TRCY_wins","p_TROR_wins","p_priority","mean_g_TROR","mean_g_TRCY","n_obs","max_support","most_supported_outcome","outcome_90"
"BEN","SUN",4,0.0242380590519248,-1.65993021160467,0.618333552232824,-0.065186391683695,-7.643339241101,7.09682623859263,0.04775,0.165125,0.8275,0,0.16328466291052,0.0650219404604837,8,0.8275,"TROR_wins","ambiguous"
"BEN","SUN",5,0.0242380590519248,-1.65993021160467,0.618333552232824,-0.013090671751599,-7.48292105897047,7.86919376790042,0.05025,0.184875,0.808625,0,0.16328466291052,0.0650219404604837,7,0.808625,"TROR_wins","ambiguous"
"BEN","SUN",6,0.0242380590519248,-1.65993021160467,0.618333552232824,0.0384687802768541,-7.0466488968626,9.3243540932537,0.05325,0.20475,0.78975,0,0.16328466291052,0.0650219404604837,8,0.78975,"TROR_wins","ambiguous"
"BEN","SUN",7,0.0242380590519248,-1.65993021160467,0.618333552232824,0.0835395863788997,-7.61714522383824,10.4781777440828,0.058125,0.223875,0.76775,0,0.16328466291052,0.0650219404604837,2,0.76775,"TROR_wins","ambiguous"
"BEN","SUN",8,0.0242380590519248,-1.65993021160467,0.618333552232824,0.124191987092359,-8.20125382953988,11.9203637691811,0.06125,0.2405,0.752125,0,0.16328466291052,0.0650219404604837,5,0.752125,"TROR_wins","ambiguous"
"BEN","SUN",9,0.0242380590519248,-1.65993021160467,0.618333552232824,0.15325484389862,-10.1473185224372,11.5815252047387,0.061125,0.25625,0.73775,0,0.16328466291052,0.0650219404604837,1,0.73775,"TROR_wins","ambiguous"
"BEN","SUN",10,0.0242380590519248,-1.65993021160467,0.618333552232824,0.180500194061226,-11.3753805113692,13.1323563441913,0.061625,0.270375,0.726125,0,0.16328466291052,0.0650219404604837,1,0.726125,"TROR_wins","ambiguous"
"CS","SH",0,0.0242380590519248,-1.65993021160467,0.618333552232824,0.758166603324311,-1.94125587631146,5.75850325393977,0.155375,0.380375,0.6025,0,0.272567727285092,0.25708951324987,18,0.6025,"TROR_wins","ambiguous"
"CS","SH",1,0.0242380590519248,-1.65993021160467,0.618333552232824,0.848294499428185,-4.36924180241812,7.26218506534899,0.16675,0.41975,0.549375,0,0.272567727285092,0.25708951324987,1,0.549375,"TROR_wins","ambiguous"
"CS","SUN",0,0.0242380590519248,-1.65993021160467,0.618333552232824,0.386547393690999,-7.92784889280769,8.95763353224328,0.09325,0.276875,0.713,0,0.272567727285092,0.25708951324987,64,0.713,"TROR_wins","ambiguous"
"CS","SUN",1,0.0242380590519248,-1.65993021160467,0.618333552232824,0.665494421248128,-6.06941368093751,8.62615288743444,0.137375,0.348125,0.6225,0,0.272567727285092,0.25708951324987,4,0.6225,"TROR_wins","ambiguous"
"CS","SUN",2,0.0242380590519248,-1.65993021160467,0.618333552232824,0.677935786016137,-5.55463038020455,7.29272429886764,0.139625,0.346,0.62725,0,0.272567727285092,0.25708951324987,2,0.62725,"TROR_wins","ambiguous"
"GH","SH",0,0.0242380590519248,-1.65993021160467,0.618333552232824,0.0385181845491922,-8.82948194673665,9.66093075276117,0.061625,0.219625,0.775875,0,0.271536420186377,0.2526107612185,109,0.775875,"TROR_wins","ambiguous"
"GH","SH",1,0.0242380590519248,-1.65993021160467,0.618333552232824,0.0905577456430278,-10.3308021973085,12.6708433416969,0.059625,0.2325,0.760875,0,0.271536420186377,0.2526107612185,11,0.760875,"TROR_wins","ambiguous"
"GH","SH",2,0.0242380590519248,-1.65993021160467,0.618333552232824,0.200208783136624,-16.982911264919,16.7897407083002,0.063875,0.272125,0.71775,0,0.271536420186377,0.2526107612185,1,0.71775,"TROR_wins","ambiguous"
"GH","SH",3,0.0242380590519248,-1.65993021160467,0.618333552232824,0.33872158702012,-23.9615254139308,24.1716733415568,0.06775,0.326125,0.66675,0,0.271536420186377,0.2526107612185,1,0.66675,"TROR_wins","ambiguous"
"GH","SUN",0,0.0242380590519248,-1.65993021160467,0.618333552232824,0.1717192682701,-14.5186305905073,15.0381352280288,0.0605,0.263625,0.731,0,0.271536420186377,0.2526107612185,135,0.731,"TROR_wins","ambiguous"
"GH","SUN",1,0.0242380590519248,-1.65993021160467,0.618333552232824,0.258943297125482,-16.9144389399411,16.5961503567081,0.063875,0.296875,0.6965,0,0.271536420186377,0.2526107612185,25,0.6965,"TROR_wins","ambiguous"
"GH","SUN",2,0.0242380590519248,-1.65993021160467,0.618333552232824,0.378167313420528,-22.3998239272977,20.3748806320436,0.0695,0.334625,0.6565,0,0.271536420186377,0.2526107612185,8,0.6565,"TROR_wins","ambiguous"
"GH","SUN",3,0.0242380590519248,-1.65993021160467,0.618333552232824,0.480583632191915,-27.0713363476904,26.4488037406769,0.07025,0.37225,0.623,0,0.271536420186377,0.2526107612185,7,0.623,"TROR_wins","ambiguous"
"GH","SUN",4,0.0242380590519248,-1.65993021160467,0.618333552232824,0.612846955151059,-31.8058538106081,35.5168181513147,0.0695,0.411125,0.5855,0,0.271536420186377,0.2526107612185,4,0.5855,"TROR_wins","ambiguous"
"GH","SUN",5,0.0242380590519248,-1.65993021160467,0.618333552232824,0.778905520950792,-37.3436595722116,46.6222824443113,0.069375,0.445875,0.548125,0,0.271536420186377,0.2526107612185,3,0.548125,"TROR_wins","ambiguous"
"GH","SUN",6,0.0242380590519248,-1.65993021160467,0.618333552232824,0.918616587845546,-47.2108138691555,49.3447624546626,0.06525,0.478375,0.520125,0,0.271536420186377,0.2526107612185,1,0.520125,"TROR_wins","ambiguous"
"GH","SUN",9,0.0242380590519248,-1.65993021160467,0.618333552232824,1.48735531156405,-91.269999317488,111.708507224521,0.060875,0.558625,0.43975,0,0.271536420186377,0.2526107612185,1,0.558625,"TRCY_wins","ambiguous"
"NAM","SH",0,0.0242380590519248,-1.65993021160467,0.618333552232824,0.104896383048304,-11.1793768363232,11.6668625206494,0.067125,0.244875,0.7455,0,0.271697182236263,0.252725576091499,100,0.7455,"TROR_wins","ambiguous"
"NAM","SH",1,0.0242380590519248,-1.65993021160467,0.618333552232824,0.113066235703549,-14.550833206664,13.9747471976814,0.063625,0.259625,0.729875,0,0.271697182236263,0.252725576091499,19,0.729875,"TROR_wins","ambiguous"
"NAM","SH",2,0.0242380590519248,-1.65993021160467,0.618333552232824,0.191375749213878,-18.8179609532391,20.0574539300784,0.061875,0.295875,0.69525,0,0.271697182236263,0.252725576091499,4,0.69525,"TROR_wins","ambiguous"
"NAM","SH",3,0.0242380590519248,-1.65993021160467,0.618333552232824,0.276303659975965,-29.3472300531765,26.0216453778322,0.058625,0.334625,0.663375,0,0.271697182236263,0.252725576091499,6,0.663375,"TROR_wins","ambiguous"
"NAM","SUN",0,0.0242380590519248,-1.65993021160467,0.618333552232824,0.23207824893425,-19.1293213729592,18.1718773390484,0.06275,0.300375,0.693125,0,0.271697182236263,0.252725576091499,128,0.693125,"TROR_wins","ambiguous"
"NAM","SUN",1,0.0242380590519248,-1.65993021160467,0.618333552232824,0.279934833463971,-24.0485950981008,19.5216782987294,0.0625,0.32475,0.670875,0,0.271697182236263,0.252725576091499,24,0.670875,"TROR_wins","ambiguous"
"NAM","SUN",2,0.0242380590519248,-1.65993021160467,0.618333552232824,0.338168434552888,-29.0165735777168,24.4515591543635,0.062,0.347625,0.645875,0,0.271697182236263,0.252725576091499,11,0.645875,"TROR_wins","ambiguous"
"NAM","SUN",3,0.0242380590519248,-1.65993021160467,0.618333552232824,0.401654077121577,-34.4899801301016,29.6957753333698,0.058875,0.37475,0.622125,0,0.271697182236263,0.252725576091499,4,0.622125,"TROR_wins","ambiguous"
"NAM","SUN",4,0.0242380590519248,-1.65993021160467,0.618333552232824,0.467584662156999,-44.1555034110601,36.2547133401276,0.056,0.397625,0.602,0,0.271697182236263,0.252725576091499,8,0.602,"TROR_wins","ambiguous"
"NAM","SUN",5,0.0242380590519248,-1.65993021160467,0.618333552232824,0.533673944161563,-46.9436937340575,45.1384245762641,0.050625,0.41975,0.580625,0,0.271697182236263,0.252725576091499,4,0.580625,"TROR_wins","ambiguous"
"NAM","SUN",6,0.0242380590519248,-1.65993021160467,0.618333552232824,0.612382917343323,-55.8864488942707,62.5883817458221,0.051125,0.437625,0.56125,0,0.271697182236263,0.252725576091499,2,0.56125,"TROR_wins","ambiguous"
"NAM","SUN",7,0.0242380590519248,-1.65993021160467,0.618333552232824,0.675369317157454,-71.3479755068304,68.973421157349,0.045625,0.453375,0.54825,0,0.271697182236263,0.252725576091499,1,0.54825,"TROR_wins","ambiguous"
"NAM","SUN",17,0.0242380590519248,-1.65993021160467,0.618333552232824,1.63751277985854,-534.610259321234,417.223265057045,0.027,0.533625,0.46375,0,0.271697182236263,0.252725576091499,1,0.533625,"TRCY_wins","ambiguous"
"PJ","SH",0,0.0242380590519248,-1.65993021160467,0.618333552232824,1.23116029134137,0.024752403565085,4.51314249245998,0.207375,0.592,0.389625,0,0.277923027220347,0.262681799311165,184,0.592,"TRCY_wins","ambiguous"
"PJ","SH",1,0.0242380590519248,-1.65993021160467,0.618333552232824,1.47480775350888,-2.97854327191403,8.74044107341814,0.15925,0.660875,0.331,0,0.277923027220347,0.262681799311165,11,0.660875,"TRCY_wins","ambiguous"
"PJ","SH",2,0.0242380590519248,-1.65993021160467,0.618333552232824,1.48368297275184,-13.4978891378418,18.9650956894042,0.123125,0.627125,0.367375,0,0.277923027220347,0.262681799311165,3,0.627125,"TRCY_wins","ambiguous"
"PJ","SH",5,0.0242380590519248,-1.65993021160467,0.618333552232824,0.887273509122933,-42.2986355177623,37.0052499650787,0.079625,0.469875,0.521625,0,0.277923027220347,0.262681799311165,1,0.521625,"TROR_wins","ambiguous"
"PJ","SH",6,0.0242380590519248,-1.65993021160467,0.618333552232824,0.724227395606767,-41.082261372996,38.7961893067481,0.0705,0.438625,0.554625,0,0.277923027220347,0.262681799311165,1,0.554625,"TROR_wins","ambiguous"
"PJ","SH",8,0.0242380590519248,-1.65993021160467,0.618333552232824,0.487789630610155,-49.4095984338694,43.7624234185875,0.059125,0.39325,0.601125,0,0.277923027220347,0.262681799311165,1,0.601125,"TROR_wins","ambiguous"
"PJ","SH",10,0.0242380590519248,-1.65993021160467,0.618333552232824,0.323581738848665,-63.7214900544475,63.851241490765,0.049625,0.36775,0.628875,0,0.277923027220347,0.262681799311165,1,0.628875,"TROR_wins","ambiguous"
"PJ","SUN",0,0.0242380590519248,-1.65993021160467,0.618333552232824,1.6151039350632,0.396784911073397,5.53963153936929,0.16225,0.7385,0.2635,0,0.277923027220347,0.262681799311165,180,0.7385,"TRCY_wins","ambiguous"
"PJ","SUN",1,0.0242380590519248,-1.65993021160467,0.618333552232824,1.89849612178646,-0.1502416641926,9.41921287123366,0.124375,0.776625,0.231375,0,0.277923027220347,0.262681799311165,10,0.776625,"TRCY_wins","ambiguous"
