"focsp","Site","Cov","fac_sc","lambda_med","lambda_lwr","lambda_upr"
"TROR","PJ","SH",0,6.71772399541309,2.26125142472466,10.5272167607079
"TROR","PJ","SH",1,6.6406236375838,2.0831550521622,11.5734880981499
"TROR","PJ","SH",2,6.54666752296113,1.65539597455612,14.6005844016428
"TROR","PJ","SH",3,6.49864285141153,1.17804675604076,19.398450187906
"TROR","PJ","SH",4,6.47598642298281,0.794488195219846,26.5688135973143
"TROR","PJ","SH",5,6.51742297008303,0.517426501093891,36.8817054407984
"TROR","PJ","SH",6,6.53719663190706,0.3315274204081,50.5980878825126
"TROR","PJ","SH",7,6.63120905098223,0.208536292435282,70.464022217283
"TROR","PJ","SH",8,6.6389726597128,0.131407273821855,98.4785219735247
"TROR","PJ","SH",9,6.68636152581559,0.0807512237275237,137.111164705936
"TROR","PJ","SH",10,6.77408260090832,0.0512818422120204,187.663544678092
"TROR","PJ","SH",17,7.23969658946199,0.0018765933175016,1850.05042156435
"TROR","PJ","SUN",0,10.8202051469953,3.61751326171476,16.9539234775722
"TROR","PJ","SUN",1,9.08712816921591,2.89631136843404,16.6151489531726
"TROR","PJ","SUN",2,7.62005723085217,1.85617648964634,19.2883673158223
"TROR","PJ","SUN",3,6.42814043508581,1.10880604177888,23.7882598196883
"TROR","PJ","SUN",4,5.42900179632372,0.622972169604172,29.7583045704341
"TROR","PJ","SUN",5,4.59083116735539,0.333330381297665,37.2053346486705
"TROR","PJ","SUN",6,3.89744260728211,0.178819376760699,46.8788340082587
"TROR","PJ","SUN",7,3.29783320487011,0.0926960657322804,59.12667299652
"TROR","PJ","SUN",8,2.79307968827769,0.0479943713335036,74.9374853305526
"TROR","PJ","SUN",9,2.36805299291571,0.0264460929480918,94.3611234400056
"TROR","PJ","SUN",10,2.01870544326319,0.0135339435611271,119.141207542228
"TROR","PJ","SUN",17,0.641284994033033,0.000132055031096384,619.796620353497
