term,estimate,std_error,z_value,p_value,species,analysis_label,density_form,family_name,final_model_name,n,AIC
Site3,-0.037084162917248815,0.17812112908749775,-0.20819631622159832,0.8350756848022028,TROR,primary_full_data_auto_density,log1p,zinb2_count,fac_by_density,662,4563.7982768255415
Site4,0.48790165739168495,0.17216737546959568,2.8338798570920143,0.004598661749581107,TROR,primary_full_data_auto_density,log1p,zinb2_count,fac_by_density,662,4563.7982768255415
Cov1,0.40956428366417497,0.0937372708159122,4.369278944215327,1.2465745358369003e-5,TROR,primary_full_data_auto_density,log1p,zinb2_count,fac_by_density,662,4563.7982768255415
cons_x,-0.20725820370395318,0.04481496314844037,-4.6247545271308805,3.7504229064809017e-6,TROR,primary_full_data_auto_density,log1p,zinb2_count,fac_by_density,662,4563.7982768255415
hetero_x,-0.2766125629766981,0.04559326596131604,-6.066960923821342,1.303532559059478e-9,TROR,primary_full_data_auto_density,log1p,zinb2_count,fac_by_density,662,4563.7982768255415
fac_x,0.07003466164013358,0.046710558490168176,1.4993325685642307,0.13378737732670348,TROR,primary_full_data_auto_density,log1p,zinb2_count,fac_by_density,662,4563.7982768255415
cons_x:fac_x,-0.1728007341343166,0.04794882433402143,-3.603857582212046,3.1352889711607325e-4,TROR,primary_full_data_auto_density,log1p,zinb2_count,fac_by_density,662,4563.7982768255415
hetero_x:fac_x,-0.13490935594601505,0.05503384988071064,-2.4513886678551406,0.014230620112346996,TROR,primary_full_data_auto_density,log1p,zinb2_count,fac_by_density,662,4563.7982768255415
(Intercept),1.9762458858340466,0.07412563772473993,26.660760655748952,1.3428698163918294e-156,TROR,TROR_no_outliers_auto_density,log1p,zinb2_count,fac_by_density,621,4083.2009319872755
Site1,0.39510754136244725,0.13102512896689866,3.01550965435237,0.002565477715038081,TROR,TROR_no_outliers_auto_density,log1p,zinb2_count,fac_by_density,621,4083.2009319872755
Site2,0.3416085228978276,0.12603269208221551,2.7104754905575175,0.006718681388787532,TROR,TROR_no_outliers_auto_density,log1p,zinb2_count,fac_by_density,621,4083.2009319872755
Site3,-0.07149512942889301,0.12986358680561533,-0.5505402336985317,0.5819488889838413,TROR,TROR_no_outliers_auto_density,log1p,zinb2_count,fac_by_density,621,4083.2009319872755
Site4,0.5979335109701038,0.1237378377090372,4.8322608673356005,1.3499121013494159e-6,TROR,TROR_no_outliers_auto_density,log1p,zinb2_count,fac_by_density,621,4083.2009319872755
Cov1,0.35874548899836894,0.06674274570850844,5.375048406985685,7.656211033187547e-8,TROR,TROR_no_outliers_auto_density,log1p,zinb2_count,fac_by_density,621,4083.2009319872755
cons_x,-0.17902368991746576,0.03925164925921213,-4.560921471992669,5.092962639140559e-6,TROR,TROR_no_outliers_auto_density,log1p,zinb2_count,fac_by_density,621,4083.2009319872755
hetero_x,-0.2727459204896567,0.04018175963981416,-6.787804290666404,1.13852948693278e-11,TROR,TROR_no_outliers_auto_density,log1p,zinb2_count,fac_by_density,621,4083.2009319872755
fac_x,0.13064049032152616,0.0392691173576466,3.326799763073551,8.784947525123429e-4,TROR,TROR_no_outliers_auto_density,log1p,zinb2_count,fac_by_density,621,4083.2009319872755
cons_x:fac_x,-0.18390602898881012,0.04100595391371669,-4.484861622187325,7.296126889305772e-6,TROR,TROR_no_outliers_auto_density,log1p,zinb2_count,fac_by_density,621,4083.2009319872755
hetero_x:fac_x,-0.1755698113779102,0.04533412794105136,-3.8727956034845588,1.0759405724802838e-4,TROR,TROR_no_outliers_auto_density,log1p,zinb2_count,fac_by_density,621,4083.2009319872755
(Intercept),1.9564397872334136,0.08054019463400403,24.291470813101384,2.4125414460045495e-130,TROR,TROR_no_outliers_raw_density_forced,raw,zinb2_count,fac_by_density,621,4115.917266258004
Site1,0.466239650046483,0.14402599951478817,3.237190865657633,0.0012071264582321183,TROR,TROR_no_outliers_raw_density_forced,raw,zinb2_count,fac_by_density,621,4115.917266258004
Site2,0.3398206782814605,0.13967270973331378,2.4329783458078698,0.014975196447845285,TROR,TROR_no_outliers_raw_density_forced,raw,zinb2_count,fac_by_density,621,4115.917266258004
Site3,-0.043470073107550425,0.14353826322880128,-0.3028465868941074,0.7620067782967592,TROR,TROR_no_outliers_raw_density_forced,raw,zinb2_count,fac_by_density,621,4115.917266258004
