model,density_form,family_name,usable,n,logLik,AIC,BIC,df,dropped_reason,nonestimable_terms,n_NA_fixed,n_NA_vcov,delta_AIC,species,analysis_label,selection_stage
saturated_diagnostic,NA,NA,FALSE,662,NA,NA,NA,44,non-positive-definite Hessian; NA/non-estimable fixed effects; NA fixed-effect covariance entries; non-finite logLik; non-finite AIC,cons_x:hetero_x; Site4:Cov1:fac_x,2,1849,NA,TROR,primary_full_data_auto_density,fixed_structure
log1p__zinb2_count,log1p,zinb2_count,TRUE,621,-2035.0881291807098,4102.17625836142,4173.077555672355,16,NA,NA,0,0,0,TROR,TROR_no_outliers_auto_density,density_family
raw__zinb2_count,raw,zinb2_count,TRUE,621,-2044.2580219705244,4120.516043941048,4191.417341251985,16,NA,NA,0,0,18.33978557962837,TROR,TROR_no_outliers_auto_density,density_family
raw__nb2_count,raw,nb2_count,TRUE,621,-2065.7908800902055,4161.581760180411,4228.051726409413,15,NA,NA,0,0,59.40550181899107,TROR,TROR_no_outliers_auto_density,density_family
log1p__zinb1_count,log1p,zinb1_count,TRUE,621,-2087.171051435517,4206.342102871034,4277.243400181969,16,NA,NA,0,0,104.16584450961363,TROR,TROR_no_outliers_auto_density,density_family
log1p__nb1_count,log1p,nb1_count,TRUE,621,-2098.673887758669,4227.347775517338,4293.81774174634,15,NA,NA,0,0,125.17151715591808,TROR,TROR_no_outliers_auto_density,density_family
log1p__zip_count,log1p,zip_count,TRUE,621,-3238.731433422562,6507.462866845124,6573.932833074126,15,NA,NA,0,0,2405.286608483704,TROR,TROR_no_outliers_auto_density,density_family
raw__zip_count,raw,zip_count,TRUE,621,-3327.015138535524,6684.030277071048,6750.50024330005,15,NA,NA,0,0,2581.854018709628,TROR,TROR_no_outliers_auto_density,density_family
log1p__poisson_count,log1p,poisson_count,TRUE,621,-3627.9298817667086,7283.859763533417,7345.898398680486,14,NA,NA,0,0,3181.6835051719972,TROR,TROR_no_outliers_auto_density,density_family
raw__poisson_count,raw,poisson_count,TRUE,621,-3688.636015248917,7405.272030497834,7467.310665644903,14,NA,NA,0,0,3303.095772136414,TROR,TROR_no_outliers_auto_density,density_family
raw__nb1_count,raw,nb1_count,FALSE,621,NA,NA,NA,15,non-positive-definite Hessian; non-finite logLik; non-finite AIC,NA,0,0,NA,TROR,TROR_no_outliers_auto_density,density_family
log1p__nb2_count,log1p,nb2_count,FALSE,621,NA,NA,NA,15,non-positive-definite Hessian; non-finite logLik; non-finite AIC,NA,0,0,NA,TROR,TROR_no_outliers_auto_density,density_family
raw__zinb1_count,raw,zinb1_count,FALSE,621,NA,NA,NA,16,non-positive-definite Hessian; non-finite logLik; non-finite AIC,NA,0,0,NA,TROR,TROR_no_outliers_auto_density,density_family
fac_by_density,NA,NA,TRUE,621,-2027.6004659936377,4083.2009319872755,4145.239567134344,14,NA,NA,0,0,0,TROR,TROR_no_outliers_auto_density,fixed_structure
site_cover_fac_by_density,NA,NA,TRUE,621,-2024.2589799526024,4084.517959905205,4164.281919380008,18,NA,NA,0,0,1.3170279179294084,TROR,TROR_no_outliers_auto_density,fixed_structure
quadratic_additive,NA,NA,TRUE,621,-2030.0870856577183,4098.174171315437,4182.369461872173,19,NA,NA,0,0,14.973239328161526,TROR,TROR_no_outliers_auto_density,fixed_structure
additive,NA,NA,TRUE,621,-2038.4115131215287,4100.823026243057,4153.998999226259,12,NA,NA,0,0,17.622094255781576,TROR,TROR_no_outliers_auto_density,fixed_structure
site_cover,NA,NA,TRUE,621,-2035.0881291807098,4102.17625836142,4173.077555672355,16,NA,NA,0,0,18.975326374144515,TROR,TROR_no_outliers_auto_density,fixed_structure
fac_by_cover,NA,NA,TRUE,621,-2038.2823564917755,4102.564712983551,4160.172017048686,13,NA,NA,0,0,19.36378099627518,TROR,TROR_no_outliers_auto_density,fixed_structure
fac_by_site_cover,NA,NA,TRUE,621,-2036.1186385442727,4106.237277088545,4181.569905481415,17,NA,NA,0,0,23.03634510126949,TROR,TROR_no_outliers_auto_density,fixed_structure
cover_density,NA,NA,TRUE,621,-2034.287563171419,4106.575126342837,4190.770416899574,19,NA,NA,0,0,23.37419435556194,TROR,TROR_no_outliers_auto_density,fixed_structure
site_cover_fac_context,NA,NA,TRUE,621,-2032.7504077292476,4107.500815458496,4200.5587681790985,21,NA,NA,0,0,24.299883471220255,TROR,TROR_no_outliers_auto_density,fixed_structure
site_density,NA,NA,TRUE,621,-2026.7691087654118,4109.538217530824,4233.615487824961,28,NA,NA,0,0,26.33728554354866,TROR,TROR_no_outliers_auto_density,fixed_structure
density_pairwise_diagnostic,NA,NA,FALSE,621,-2024.2589799526024,4084.517959905205,4164.281919380008,18,NA/non-estimable fixed effects; NA fixed-effect covariance entries,cons_x:hetero_x,1,31,NA,TROR,TROR_no_outliers_auto_density,fixed_structure
fac_by_site,NA,NA,FALSE,621,NA,NA,NA,16,non-positive-definite Hessian; NA fixed-effect covariance entries; non-finite logLik; non-finite AIC,NA,0,169,NA,TROR,TROR_no_outliers_auto_density,fixed_structure
broad_facilitation_context,NA,NA,FALSE,621,NA,NA,NA,23,non-positive-definite Hessian; NA fixed-effect covariance entries; non-finite logLik; non-finite AIC,NA,0,400,NA,TROR,TROR_no_outliers_auto_density,fixed_structure
saturated_diagnostic,NA,NA,FALSE,621,NA,NA,NA,44,non-positive-definite Hessian; NA/non-estimable fixed effects; NA fixed-effect covariance entries; non-finite logLik; non-finite AIC,cons_x:hetero_x; Site4:Cov1:fac_x,2,1849,NA,TROR,TROR_no_outliers_auto_density,fixed_structure
raw__zinb2_count,raw,zinb2_count,TRUE,621,-2044.2580219705244,4120.516043941048,4191.417341251985,16,NA,NA,0,0,0,TROR,TROR_no_outliers_raw_density_forced,density_family
raw__nb2_count,raw,nb2_count,TRUE,621,-2065.7908800902055,4161.581760180411,4228.051726409413,15,NA,NA,0,0,41.0657162393627,TROR,TROR_no_outliers_raw_density_forced,density_family
raw__zip_count,raw,zip_count,TRUE,621,-3327.015138535524,6684.030277071048,6750.50024330005,15,NA,NA,0,0,2563.5142331299994,TROR,TROR_no_outliers_raw_density_forced,density_family
raw__poisson_count,raw,poisson_count,TRUE,621,-3688.636015248917,7405.272030497834,7467.310665644903,14,NA,NA,0,0,3284.7559865567855,TROR,TROR_no_outliers_raw_density_forced,density_family
raw__nb1_count,raw,nb1_count,FALSE,621,NA,NA,NA,15,non-positive-definite Hessian; non-finite logLik; non-finite AIC,NA,0,0,NA,TROR,TROR_no_outliers_raw_density_forced,density_family
raw__zinb1_count,raw,zinb1_count,FALSE,621,NA,NA,NA,16,non-positive-definite Hessian; non-finite logLik; non-finite AIC,NA,0,0,NA,TROR,TROR_no_outliers_raw_density_forced,density_family
quadratic_additive,NA,NA,TRUE,621,-2038.4480451280817,4114.896090256163,4199.0913808129,19,NA,NA,0,0,0,TROR,TROR_no_outliers_raw_density_forced,fixed_structure
fac_by_density,NA,NA,TRUE,621,-2043.9586331290022,4115.917266258004,4177.955901405073,14,NA,NA,0,0,1.0211760018410132,TROR,TROR_no_outliers_raw_density_forced,fixed_structure
site_cover_fac_by_density,NA,NA,TRUE,621,-2040.8498938654704,4117.69978773094,4197.463747205744,18,NA,NA,0,0,2.8036974747774366,TROR,TROR_no_outliers_raw_density_forced,fixed_structure
additive,NA,NA,TRUE,621,-2047.3378977423024,4118.675795484605,4171.851768467806,12,NA,NA,0,0,3.7797052284422534,TROR,TROR_no_outliers_raw_density_forced,fixed_structure
fac_by_cover,NA,NA,TRUE,621,-2046.424888539412,4118.8497770788235,4176.457081143959,13,NA,NA,0,0,3.9536868226605293,TROR,TROR_no_outliers_raw_density_forced,fixed_structure
broad_facilitation_context,NA,NA,TRUE,621,-2036.8311542882477,4119.662308576495,4221.5829234609655,23,NA,NA,0,0,4.766218320331973,TROR,TROR_no_outliers_raw_density_forced,fixed_structure
site_cover,NA,NA,TRUE,621,-2044.2580219705244,4120.516043941048,4191.417341251985,16,NA,NA,0,0,5.619953684885331,TROR,TROR_no_outliers_raw_density_forced,fixed_structure
cover_density,NA,NA,TRUE,621,-2041.640402887915,4121.28080577583,4205.476096332566,19,NA,NA,0,0,6.384715519667225,TROR,TROR_no_outliers_raw_density_forced,fixed_structure
fac_by_site,NA,NA,TRUE,621,-2045.7268741675318,4123.453748335063,4194.355045646,16,NA,NA,0,0,8.557658078900204,TROR,TROR_no_outliers_raw_density_forced,fixed_structure
density_pairwise_diagnostic,NA,NA,FALSE,621,-2040.8498938654704,4117.69978773094,4197.463747205744,18,NA/non-estimable fixed effects; NA fixed-effect covariance entries,cons_x:hetero_x,1,31,NA,TROR,TROR_no_outliers_raw_density_forced,fixed_structure
fac_by_site_cover,NA,NA,FALSE,621,NA,NA,NA,17,non-positive-definite Hessian; NA fixed-effect covariance entries; non-finite logLik; non-finite AIC,NA,0,196,NA,TROR,TROR_no_outliers_raw_density_forced,fixed_structure
site_cover_fac_context,NA,NA,FALSE,621,NA,NA,NA,21,non-positive-definite Hessian; NA fixed-effect covariance entries; non-finite logLik; non-finite AIC,NA,0,324,NA,TROR,TROR_no_outliers_raw_density_forced,fixed_structure
saturated_diagnostic,NA,NA,FALSE,621,NA,NA,NA,44,non-positive-definite Hessian; NA/non-estimable fixed effects; NA fixed-effect covariance entries; non-finite logLik; non-finite AIC,cons_x:hetero_x; Site4:Cov1:fac_x,2,1849,NA,TROR,TROR_no_outliers_raw_density_forced,fixed_structure
site_density,NA,NA,FALSE,621,NA,NA,NA,NA,FIT_ERROR: system is computationally singular: reciprocal condition number = 7.14104e-18,NA,NA,NA,NA,TROR,TROR_no_outliers_raw_density_forced,fixed_structure
