"Site","Cov","BLK","Col","Row","TROR","TRCY","NO_GRASS","NO_FORB","NO_FOCAL","FOCAL_GERM","CHANGED_FOCAL","NOTES","fitness","Germination","dens_trt","CEC","pH","NO3.N","mean_percent_open","precip","pet","water_in_out","PC1","PC2","focsp","germ","intra","inter","fac","intra_sc","inter_sc","fac_sc"
"PJ","Sun","1",10,1,0,17,0,0,1,"Y",0,"",28,"Yes","High density monoculture",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TRCY",TRUE,17,0,0,17,0,0
"PJ","Sun","1",10,2,0,0,0,0,1,"Y",0,"",6,"Yes","lambda",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TROR",TRUE,0,0,0,0,0,0
"PJ","Sun","1",10,3,0,0,0,0,2,"Y",0,"",22,"Yes","IWR + Facilitator",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TRCY",TRUE,0,0,0,0,0,0
"PJ","Sun","1",10,6,1,0,0,0,1,"Y",0,"",6,"Yes","Invasion when rare (IWR)",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TRCY",TRUE,0,1,0,0,1,0
"PJ","Sun","1",10,7,0,9,0,0,1,"Y",0,"",6,"Yes","IWR + Facilitator",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TROR",TRUE,0,9,0,0,9,0
"PJ","Sun","2",1,1,5,0,0,0,1,"Y",0,"",51,"Yes","Invasion when rare (IWR)",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,0,5,0,0,5,0
"PJ","Sun","2",1,2,0,26,0,0,1,"Y",0,"",19,"Yes","High density monoculture",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,26,0,0,26,0,0
"PJ","Sun","2",1,3,0,0,0,0,1,"Y",0,"",0,"No","lambda",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TROR",TRUE,0,0,0,0,0,0
"PJ","Sun","2",1,4,0,22,0,0,1,"Y",0,"",6,"Yes","Invasion when rare (IWR)",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TROR",TRUE,0,22,0,0,22,0
"PJ","Sun","2",1,5,4,0,0,0,2,"Y",0,"",45,"Yes","IWR + Facilitator",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,0,4,0,0,4,0
"PJ","Sun","2",1,6,0,0,0,0,1,"Y",0,"",46,"Yes","lambda",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,0,0,0,0,0,0
"PJ","Sun","2",1,7,0,10,0,0,1,"Y",0,"",9,"Yes","IWR + Facilitator",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TROR",TRUE,0,10,0,0,10,0
"PJ","Sun","2",1,8,3,0,0,0,1,"Y",0,"",27,"Yes","High density monoculture",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TROR",TRUE,3,0,0,3,0,0
"PJ","Sun","2",2,2,1,0,0,2,1,"Y",0,"",14,"Yes","Invasion when rare (IWR)",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,0,1,0,0,1,0
"PJ","Sun","2",2,3,0,18,0,0,1,"Y",0,"",7,"Yes","IWR + Facilitator",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TROR",TRUE,0,18,0,0,18,0
"PJ","Sun","2",2,4,7,0,0,0,1,"Y",0,"",18,"Yes","High density monoculture",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TROR",TRUE,7,0,0,7,0,0
"PJ","Sun","2",2,5,0,26,0,0,1,"Y",0,"",6,"Yes","Invasion when rare (IWR)",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TROR",TRUE,0,26,0,0,26,0
"PJ","Sun","2",2,7,0,16,0,2,1,"Y",0,"",11,"Yes","High density monoculture",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,16,0,0,16,0,0
"PJ","Sun","2",2,8,2,0,0,0,1,"Y",0,"",36,"Yes","IWR + Facilitator",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,0,2,0,0,2,0
"PJ","Sun","2",3,1,0,19,1,0,1,"Y",0,"",34,"Yes","IWR + Facilitator",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TROR",TRUE,0,19,1,0,19,1
"PJ","Sun","2",3,2,7,0,0,0,3,"Y",0,"",12,"Yes","Invasion when rare (IWR)",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,0,7,0,0,7,0
"PJ","Sun","2",3,3,2,0,0,0,1,"Y",0,"",14,"Yes","High density monoculture",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TROR",TRUE,2,0,0,2,0,0
"PJ","Sun","2",3,4,0,26,0,3,1,"Y",0,"",20,"Yes","High density monoculture",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,26,0,0,26,0,0
"PJ","Sun","2",3,5,0,0,1,0,1,"Y",0,"",46,"Yes","IWR + Facilitator",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,0,0,1,0,0,1
"PJ","Sun","2",3,8,0,19,0,0,1,"Y",0,"",12,"Yes","Invasion when rare (IWR)",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TROR",TRUE,0,19,0,0,19,0
"PJ","Sun","2",4,1,4,0,0,0,1,"Y",0,"",19,"Yes","High density monoculture",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TROR",TRUE,4,0,0,4,0,0
"PJ","Sun","2",4,2,0,27,0,0,1,"Y",0,"",22,"Yes","IWR + Facilitator",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TROR",TRUE,0,27,0,0,27,0
"PJ","Sun","2",4,3,0,0,0,0,1,"Y",0,"",158,"Yes","lambda",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,0,0,0,0,0,0
"PJ","Sun","2",4,5,0,6,0,0,1,"Y",0,"",46,"Yes","Invasion when rare (IWR)",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TROR",TRUE,0,6,0,0,6,0
"PJ","Sun","2",4,6,1,0,0,1,1,"Y",0,"",52,"Yes","IWR + Facilitator",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,0,1,0,0,1,0
"PJ","Sun","2",4,7,0,24,0,0,1,"Y",0,"",6,"Yes","High density monoculture",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,24,0,0,24,0,0
"PJ","Sun","2",4,8,10,0,0,0,1,"Y",0,"",14,"Yes","Invasion when rare (IWR)",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,0,10,0,0,10,0
"PJ","Sun","2",5,1,13,0,0,0,3,"Y",0,"",36,"Yes","IWR + Facilitator",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,0,13,0,0,13,0
"PJ","Sun","2",5,2,0,5,0,0,1,"Y",0,"",20,"Yes","Invasion when rare (IWR)",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TROR",TRUE,0,5,0,0,5,0
"PJ","Sun","2",5,4,0,32,0,0,1,"Y",0,"",10,"Yes","IWR + Facilitator",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TROR",TRUE,0,32,0,0,32,0
"PJ","Sun","2",5,5,0,6,0,0,1,"Y",0,"",241,"Yes","High density monoculture",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,6,0,0,6,0,0
"PJ","Sun","2",5,6,0,0,0,0,1,"Y",0,"",14,"Yes","lambda",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TROR",TRUE,0,0,0,0,0,0
"PJ","Sun","2",5,7,0,0,0,0,1,"Y",0,"",84,"Yes","Invasion when rare (IWR)",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,0,0,0,0,0,0
"PJ","Sun","2",5,8,0,0,0,0,1,"Y",0,"",50,"Yes","lambda",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,0,0,0,0,0,0
"PJ","Sun","2",6,1,0,0,0,0,1,"Y",0,"",30,"Yes","lambda",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,0,0,0,0,0,0
"PJ","Sun","2",6,2,0,21,0,0,1,"Y",0,"",0,"No","Invasion when rare (IWR)",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TROR",TRUE,0,21,0,0,21,0
"PJ","Sun","2",6,3,7,0,0,0,1,"Y",0,"",15,"Yes","Invasion when rare (IWR)",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,0,7,0,0,7,0
"PJ","Sun","2",6,4,0,8,0,0,1,"Y",0,"",107,"Yes","High density monoculture",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,8,0,0,8,0,0
"PJ","Sun","2",6,5,1,0,1,1,1,"Y",0,"",11,"Yes","IWR + Facilitator",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,0,1,1,0,1,1
"PJ","Sun","2",6,8,0,9,0,0,1,"Y",0,"",25,"Yes","IWR + Facilitator",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TROR",TRUE,0,9,0,0,9,0
"PJ","Sun","2",7,1,0,27,0,0,1,"Y",0,"",0,"No","Invasion when rare (IWR)",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TROR",TRUE,0,27,0,0,27,0
"PJ","Sun","2",7,2,2,0,0,0,1,"Y",0,"",110,"Yes","Invasion when rare (IWR)",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,0,2,0,0,2,0
"PJ","Sun","2",7,3,0,10,0,0,1,"Y",0,"",125,"Yes","High density monoculture",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,10,0,0,10,0,0
"PJ","Sun","2",7,4,10,0,0,0,1,"Y",0,"",27,"Yes","High density monoculture",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TROR",TRUE,10,0,0,10,0,0
