focsp,Site,Cov,fac_sc,lambda_med,lambda_lwr,lambda_upr
TROR,GH,Sun,4,14.783521403089651,4.604703094864548,29.250418705268658
TROR,GH,Sun,4.5,15.860881758461387,4.8362265119820504,33.063217105201915
TROR,GH,Sun,5,17.06859943015955,5.067594553821984,37.62899343652541
TROR,GH,Sun,6,19.764083013552955,5.563828611149461,49.04834800145829
TROR,GH,Sun,7,22.92053119682924,5.951754772410661,64.1491204609749
TROR,GH,Sun,7.117647058823529,23.35719042436167,5.955922900977128,66.1054289454176
TROR,GH,Sun,8,26.615863455082582,6.1646280557955615,84.35256537110064
TROR,GH,Sun,9,30.93713072605908,6.467564258440483,110.84588017642686
TROR,GH,Sun,10,35.84494436372192,6.687677548441511,146.92580693404724
TROR,GH,Sun,17,101.48509046868915,7.790716061732432,1130.1388594322143
TROR,NAM,Shade,0,4.253685385073758,1.4065183439965836,6.906581586164369
TROR,NAM,Shade,1,5.008301547271863,1.638670171877891,8.476682012742913
TROR,NAM,Shade,2,5.862318964917744,1.823154106762302,11.662239305135595
TROR,NAM,Shade,2.5,6.353137355339825,1.8963435818957273,13.908991609501664
TROR,NAM,Shade,3,6.87105105967454,1.9479308304686394,16.665683314298636
TROR,NAM,Shade,4,8.08112298072292,1.9356054806071445,24.63269478223638
TROR,NAM,Shade,4.5,8.7721360346373,1.9413817400308102,29.76600207425977
TROR,NAM,Shade,5,9.529419995042932,1.943084789376464,36.5691986955352
TROR,NAM,Shade,6,11.212709023082517,1.824722719154961,54.62661803991426
TROR,NAM,Shade,7,13.142057202103857,1.6665556653839686,81.50884029233528
TROR,NAM,Shade,7.117647058823529,13.389712378082129,1.661334676531018,85.29504411092948
TROR,NAM,Shade,8,15.56056237268514,1.5782850735331349,122.51750833274765
TROR,NAM,Shade,9,18.45175242011856,1.4643412293378244,184.49892321454254
TROR,NAM,Shade,10,21.814518067039153,1.3713420695189953,283.1767296959859
TROR,NAM,Shade,17,70.06468331013174,0.7226897964610871,5739.769471435999
TROR,NAM,Sun,0,6.894889454162704,2.2730894084733495,10.991755935821153
