Site,Cov,fac_sc,niche_med,niche_lwr,niche_upr,fit_med,fit_lwr,fit_upr,p_coexist,p_TRCY_wins,p_TROR_wins,p_priority,mean_g_TROR,mean_g_TRCY,p_valid_kappa,n_obs,p_sum,p_unclassified,max_support,most_supported_outcome,outcome_90
BEN,Sun,10,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.7684443265736045,0.2946567176487666,9.942214385132022,0.14025,0.577625,0.1565,0.125625,1,1,1,1,1,0,0.577625,TRCY_wins,ambiguous
CS,Shade,0,0.02072453548382952,-1.6114760218384188,0.6355345295115824,0.571328847090474,-14.723027470197756,15.793065163587292,0.101125,0.276875,0.53925,0.08275,1,1,1,18,1,0,0.53925,TROR_wins,ambiguous
CS,Shade,1,0.02072453548382952,-1.6114760218384188,0.6355345295115824,0.03245977921847277,-8.647444723923364,9.804967276581372,0.063625,0.15925,0.724125,0.053,1,1,1,1,1,0,0.724125,TROR_wins,ambiguous
CS,Sun,0,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.5801591386743508,-5.388593101925377,14.618693474874878,0.1325,0.529875,0.21625,0.121375,1,1,1,64,1,0,0.529875,TRCY_wins,ambiguous
CS,Sun,1,0.02072453548382952,-1.6114760218384188,0.6355345295115824,0.138605746915954,-9.58513669543456,10.416747249442759,0.0615,0.175875,0.707875,0.05475,1,1,1,4,1,0,0.707875,TROR_wins,ambiguous
CS,Sun,2,0.02072453548382952,-1.6114760218384188,0.6355345295115824,-0.010004366380055557,-9.908659235780913,9.683680479118049,0.062375,0.150625,0.7365,0.0505,1,1,1,2,1,0,0.7365,TROR_wins,ambiguous
GH,Shade,0,0.02072453548382952,-1.6114760218384188,0.6355345295115824,0.6082608172107284,0.17606105563056068,1.9733202327228536,0.192125,0.080625,0.573875,0.153375,1,1,1,109,1,0,0.573875,TROR_wins,ambiguous
GH,Shade,1,0.02072453548382952,-1.6114760218384188,0.6355345295115824,0.7560246498583798,0.22000721323226405,2.4154161147191227,0.223375,0.15,0.445875,0.18075,1,1,1,11,1,0,0.445875,TROR_wins,ambiguous
GH,Shade,2,0.02072453548382952,-1.6114760218384188,0.6355345295115824,0.8996095473644374,0.22435313880087485,3.4237171836240807,0.214875,0.251125,0.355875,0.178125,1,1,1,1,1,0,0.355875,TROR_wins,ambiguous
GH,Shade,3,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.0509368046282348,0.2042073462044864,5.2565673263809,0.185625,0.34875,0.306375,0.15925,1,1,1,1,1,0,0.34875,TRCY_wins,ambiguous
GH,Sun,0,0.02072453548382952,-1.6114760218384188,0.6355345295115824,0.8734024313076467,0.26624032608058235,2.805637572504015,0.238,0.213125,0.354875,0.194,1,1,1,135,1,0,0.354875,TROR_wins,ambiguous
GH,Sun,1,0.02072453548382952,-1.6114760218384188,0.6355345295115824,0.9924254235775345,0.3011792962913536,3.100171970829034,0.244125,0.26625,0.285125,0.2045,1,1,1,25,1,0,0.285125,TROR_wins,ambiguous
GH,Sun,2,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.109476811082175,0.319967360793093,3.6907439386421355,0.229,0.337375,0.237875,0.19575,1,1,1,8,1,0,0.337375,TRCY_wins,ambiguous
GH,Sun,3,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.235820083440157,0.3206655971131242,4.596721894879769,0.203125,0.409375,0.213125,0.174375,1,1,1,7,1,0,0.409375,TRCY_wins,ambiguous
GH,Sun,4,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.3821994571296408,0.3142790204895666,5.861720238747458,0.178625,0.474375,0.191125,0.155875,1,1,1,4,1,0,0.474375,TRCY_wins,ambiguous
GH,Sun,5,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.5433571746086772,0.2854766891149106,7.685895045375663,0.15475,0.523875,0.1815,0.139875,1,1,1,3,1,0,0.523875,TRCY_wins,ambiguous
GH,Sun,6,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.7204848963995507,0.26065473675651984,10.666753122050695,0.1355,0.56325,0.177125,0.124125,1,1,1,1,1,0,0.56325,TRCY_wins,ambiguous
GH,Sun,9,0.02072453548382952,-1.6114760218384188,0.6355345295115824,2.373424631584011,0.18774570510201108,29.230293087680014,0.096125,0.6405,0.173375,0.09,1,1,1,1,1,0,0.6405,TRCY_wins,ambiguous
