"Site","Cov","fac_sc","niche_med","niche_lwr","niche_upr","fit_med","fit_lwr","fit_upr","p_coexist","p_TRCY_wins","p_TROR_wins","p_priority","mean_g_TROR","mean_g_TRCY","n_obs","max_support","most_supported_outcome","outcome_90"
"GH","SUN",2,0.0242380590519248,-1.65993021160467,0.618333552232824,1.11068398516397,0.332514665707276,3.66326726083572,0.223125,0.342625,0.2375,0.19675,1,1,8,0.342625,"TRCY_wins","ambiguous"
"GH","SUN",3,0.0242380590519248,-1.65993021160467,0.618333552232824,1.23746981146177,0.328656334227128,4.58953635469183,0.2045,0.412375,0.20775,0.175375,1,1,7,0.412375,"TRCY_wins","ambiguous"
"GH","SUN",4,0.0242380590519248,-1.65993021160467,0.618333552232824,1.38594673920827,0.30468890302367,5.88011147701623,0.1775,0.474625,0.191375,0.1565,1,1,4,0.474625,"TRCY_wins","ambiguous"
"GH","SUN",5,0.0242380590519248,-1.65993021160467,0.618333552232824,1.54808336454177,0.285376353597623,7.73569048917555,0.155,0.52275,0.182125,0.140125,1,1,3,0.52275,"TRCY_wins","ambiguous"
"GH","SUN",6,0.0242380590519248,-1.65993021160467,0.618333552232824,1.7326379426185,0.259544288657675,10.7777605340091,0.136,0.562375,0.17825,0.123375,1,1,1,0.562375,"TRCY_wins","ambiguous"
"GH","SUN",9,0.0242380590519248,-1.65993021160467,0.618333552232824,2.35496165165677,0.18597378351863,27.9455278958871,0.095375,0.63825,0.17575,0.090625,1,1,1,0.63825,"TRCY_wins","ambiguous"
"NAM","SH",0,0.0242380590519248,-1.65993021160467,0.618333552232824,0.873518092324799,0.270423342057357,2.67888823444627,0.245,0.19975,0.354375,0.200875,1,1,100,0.354375,"TROR_wins","ambiguous"
"NAM","SH",1,0.0242380590519248,-1.65993021160467,0.618333552232824,1.07987323355612,0.331558028660423,3.42008004371956,0.239875,0.317875,0.23325,0.209,1,1,19,0.317875,"TRCY_wins","ambiguous"
"NAM","SH",2,0.0242380590519248,-1.65993021160467,0.618333552232824,1.30964748325131,0.340395365988005,4.86382701354323,0.198125,0.44725,0.17475,0.179875,1,1,4,0.44725,"TRCY_wins","ambiguous"
"NAM","SH",3,0.0242380590519248,-1.65993021160467,0.618333552232824,1.56883145497277,0.33434080585949,7.67211535620635,0.16225,0.541375,0.148,0.148375,1,1,6,0.541375,"TRCY_wins","ambiguous"
"NAM","SUN",0,0.0242380590519248,-1.65993021160467,0.618333552232824,1.20039364949758,0.377026712519086,3.64838161422977,0.22625,0.38125,0.187375,0.205125,1,1,128,0.38125,"TRCY_wins","ambiguous"
"NAM","SUN",1,0.0242380590519248,-1.65993021160467,0.618333552232824,1.40561058303281,0.443215604637374,4.28623728984209,0.204375,0.48275,0.124375,0.1885,1,1,24,0.48275,"TRCY_wins","ambiguous"
"NAM","SUN",2,0.0242380590519248,-1.65993021160467,0.618333552232824,1.64417871734913,0.495691996358496,5.1932697400138,0.173625,0.580625,0.08475,0.161,1,1,11,0.580625,"TRCY_wins","ambiguous"
"NAM","SUN",3,0.0242380590519248,-1.65993021160467,0.618333552232824,1.91171855905401,0.538013221412782,6.54220192669157,0.14,0.6655,0.060875,0.133625,1,1,4,0.6655,"TRCY_wins","ambiguous"
"NAM","SUN",4,0.0242380590519248,-1.65993021160467,0.618333552232824,2.21558819465095,0.586331503314476,8.58441862190952,0.11325,0.724875,0.048875,0.113,1,1,8,0.724875,"TRCY_wins","ambiguous"
"NAM","SUN",5,0.0242380590519248,-1.65993021160467,0.618333552232824,2.57191832798451,0.613460454915861,11.1907716892419,0.0935,0.77175,0.040875,0.093875,1,1,4,0.77175,"TRCY_wins","ambiguous"
"NAM","SUN",6,0.0242380590519248,-1.65993021160467,0.618333552232824,2.96083406489696,0.619086811545831,15.2414616571429,0.076875,0.806125,0.039,0.078,1,1,2,0.806125,"TRCY_wins","ambiguous"
"NAM","SUN",7,0.0242380590519248,-1.65993021160467,0.618333552232824,3.40651488495908,0.608299553435848,21.5220664864546,0.067375,0.828125,0.038875,0.065625,1,1,1,0.828125,"TRCY_wins","ambiguous"
"NAM","SUN",17,0.0242380590519248,-1.65993021160467,0.618333552232824,12.2729707539115,-122.47696562506,492.971077500128,0.030125,0.868375,0.076125,0.025375,1,1,1,0.868375,"TRCY_wins","ambiguous"
"PJ","SH",0,0.0242380590519248,-1.65993021160467,0.618333552232824,1.1429606213396,0.363699279474293,3.34444566902699,0.24525,0.34375,0.20225,0.20875,1,1,184,0.34375,"TRCY_wins","ambiguous"
"PJ","SH",1,0.0242380590519248,-1.65993021160467,0.618333552232824,1.31444876089145,0.402114839923663,4.52675890272632,0.209125,0.44875,0.150375,0.19175,1,1,11,0.44875,"TRCY_wins","ambiguous"
"PJ","SH",2,0.0242380590519248,-1.65993021160467,0.618333552232824,1.49404282021905,0.353383032129621,7.67041195395429,0.168,0.5285,0.147625,0.155875,1,1,3,0.5285,"TRCY_wins","ambiguous"
"PJ","SH",5,0.0242380590519248,-1.65993021160467,0.618333552232824,1.86459513535873,-28.7636097689159,40.3654284844901,0.10375,0.581125,0.220625,0.0945,1,1,1,0.581125,"TRCY_wins","ambiguous"
"PJ","SH",6,0.0242380590519248,-1.65993021160467,0.618333552232824,1.84985896383843,-51.5586692039657,53.8148147794692,0.09325,0.56625,0.2575,0.083,1,1,1,0.56625,"TRCY_wins","ambiguous"
"PJ","SH",8,0.0242380590519248,-1.65993021160467,0.618333552232824,1.70139346600116,-108.889970732568,87.6650594208597,0.074125,0.529,0.329,0.067875,1,1,1,0.529,"TRCY_wins","ambiguous"
"PJ","SH",10,0.0242380590519248,-1.65993021160467,0.618333552232824,1.42116553168112,-161.251195954669,119.5971430839,0.06275,0.495125,0.388625,0.0535,1,1,1,0.495125,"TRCY_wins","ambiguous"
"PJ","SUN",0,0.0242380590519248,-1.65993021160467,0.618333552232824,1.5093930842689,0.485054277827249,4.59985509876183,0.1875,0.53225,0.100125,0.180125,1,1,180,0.53225,"TRCY_wins","ambiguous"
"PJ","SUN",1,0.0242380590519248,-1.65993021160467,0.618333552232824,1.68580809989536,0.512879966869001,5.94126823275401,0.156875,0.600625,0.084875,0.157625,1,1,10,0.600625,"TRCY_wins","ambiguous"
